'propiedad', 'código',
'seguridad', 'protección',
'elección', 'decisión',
'afirmación', 'declaración',
'tratado', 'acuerdo',
'compromiso', 'acuerdo',
'común', 'general',
'reglas', 'normas',
'esquema', 'plan',
'pasos', 'procedimiento',
'habilidades', 'destrezas',
'capacidad', 'habilidad',
'talento', 'habilidad',
'aptitud', 'habilidad',
'facilidad', 'habilidad',
'rápidez', 'velocidad',
'reconocimiento', 'apreciación',
'honestidad', 'sinceridad',
'crítica', 'opinión',
'preocupación', 'inquietud',
'empatía', 'comprensión',
'riesgo', 'peligro',
'peligro', 'riesgo',
'alerta', 'advertencia',
'correcto', 'adecuado',
'mental', 'psicológico',
'humano', 'persona',
'auxilio', 'ayuda',
'no riesgo', 'seguro',
'deseo', 'anhelo',
'querer', 'deseo',
'egoísmo', 'interés propio',
'atención', 'cuidado',
'amor', 'afecto',
'alegría', 'felicidad',
'fe', 'creencia',
'soñar', 'imaginar',
'lo último que se pierde', 'esperanza',
'unión', 'conexión',
'opción', 'elección',
'alternativa', 'opción',
'chance', 'oportunidad',
'ventana', 'oportunidad',
'no mentir', 'sinceridad',
'real', 'verdadero',
'natural', 'genuino',
'sin tapujos', 'sin reservas',
'gratitud', 'agradecimiento',
'trato', 'acuerdo',
'protección', 'seguridad',
'no peligro', 'seguro',
'a salvo', 'seguro',
'evación', 'escape',
'inseguridad', 'falta de seguridad',
'amenaza', 'peligro',
'preparación', 'preparativos',
'confianza', 'seguridad',
'inquietud', 'preocupación',
'certeza', 'seguridad',
'pensamiento', 'idea',
'veracidad', 'verdad',
'destreza', 'habilidad',
'cualidad', 'característica',
'gozo', 'alegría',
'satisfacción', 'alegría',
'paz', 'tranquilidad',
'estrategia', 'plan',
'programa', 'plan',
'negativo', 'malo',
'positivo', 'bueno',
'mandato', 'orden',
'hechos', 'acciones',
'recomendación', 'consejo',
'camino', 'ruta',
'ayuda', 'apoyo',
'apoyo', 'ayuda',
'dominio', 'control',
'sensibilidad', 'empatía',
'entusiasmo', 'alegría',
'bien', 'bueno',
'cuidado', 'precaución',
'mal', 'malo',
'hacer', 'realizar',
'precaución', 'cuidado',
'organización', 'orden',
'adelantamiento', 'avance',
'proyección', 'planificación',
'decisión', 'elección',
'mejorar', 'mejoramiento',
'motivación', 'estímulo',
'receta', 'fórmula',
'logro', 'éxito',
'opinión', 'punto de vista',
'imaginación', 'creatividad',
'técnica', 'método',
'don', 'talento',
'acuerdo', 'convenio'
