'propiedad', 'código',
'sentimiento', 'emoción',
'por lo que se le perdona la vida a alguien en las peliculas', 'clemencia',
'necesario para cumplir objetivos', 'requisito',
'organizar recursos o personas', 'gestión',
'estrategia', 'planificación',
'capacidad', 'habilidad',
'por lo que se diferencian las personas', 'característica',
'lo que permite cumplir algunas metas', 'herramienta',
'pueden ser blandas o duras', 'materiales',
'lo que genera un trabajo', 'producción',
'utilidad', 'beneficio',
'contrario a mentira', 'verdad',
'confianza', 'seguridad',
'fe que algo va a pasar', 'esperanza',
'conseguir metas', 'lograr',
'ganar', 'victoria',
'lo que permite innovar', 'creatividad',
'en lo que se basa el éxito de un negocio', 'cliente',
'un problema sin solucion es una', 'dificultad',
'alegría', 'felicidad',
'sentimiento', 'emoción',
'contrario a tristeza', 'alegría',
'sentimiento', 'emoción',
'comprension', 'entendimiento',
'sentimiento', 'emoción',
'logica', 'razonamiento',
'analisis', 'examen',
'vida', 'existencia',
'inteligencia', 'intelecto',
'abstraccion', 'concepto',
'empatia', 'compasión',
'paciencia', 'tolerancia',
'impaciencia', 'intranquilidad',
'impulsivo', 'irreflexivo',
'angustia', 'ansiedad',
'ambigüedad', 'incertidumbre',
'apuro', 'prisa',
'contento', 'satisfacción',
'comodidad', 'confort',
'estabilidad', 'equilibrio',
'equilibrio', 'balance',
'control', 'dominio',
'de tener espacio', 'libertad',
'concreto', 'específico',
'hecho', 'realidad',
'constante', 'permanente',
'presición', 'exactitud',
'habilidad', 'destreza',
'facilidad', 'aptitud',
'maestria', 'excelencia',
'habilitado', 'capacitado',
'seguro', 'protegido',
'destreza', 'habilidad',
'facilidad', 'aptitud',
'de poder hacer cosas', 'capacidad',
'opcion', 'alternativa',
'seguridad', 'protección',
'inestabilidad', 'inseguridad',
'sensacion', 'sentimiento',
'angustia', 'ansiedad',
'tension', 'estrés',
'estrés', 'presión',
'organizado', 'ordenado',
'tranquilo', 'calmado',
'pensado', 'reflexionado',
'racionalizado', 'analizado',
'ordenado', 'organizado',
'bueno', 'bondad',
'empatico', 'compasivo',
'benevolo', 'generoso',
'inteligente', 'intelectual',
'sabio', 'sabiduría',
'perdon', 'indulgencia',
'del bien', 'bondad',
'claro', 'evidente',
'de hacer notar una accion o favor', 'reconocimiento',
'atencion', 'interés',
'sociedad', 'comunidad',
'regla', 'norma',
'cortesia', 'amabilidad',
'amabilidad', 'gentileza',
'de bien', 'bondad',
'nervioso', 'ansioso',
'preocupacion por algo', 'inquietud',
'querer tener o hacer algo pronto', 'impaciencia',
'querer que pase rapido el tiempo por x motivo', 'anhelo',
'sudor en las manos', 'nerviosismo',
'existe antes de una competencia', 'nerviosismo',
'todas las personas lo demuestran de maneras diferentes', 'emoción',
'es una forma de mostrar que se esta nervioso por algo', 'inquietud',
'un deber', 'obligación',
'responsabilidad de hacer algo', 'deber',
'algo que debe cumplirse', 'obligación',
'algo que se debe hacer o no hacer', 'norma',
'consejo', 'recomendación',
'hablar sobre mejora de algo', 'feedback',
'como hacer algo mejor', 'mejora',
'como corregir algo', 'corrección',
'capacidad de pensar', 'pensamiento',
'propio del ser humano', 'humano',
'inteligencia', 'intelecto',
'capacidad de argumentar o debatir algo', 'argumentación',
'existe en un lema chileno', 'alegría',
'parecido a la alegria', 'felicidad',
'mucha gente la busca', 'felicidad',
'la relacionan con el dinero', 'riqueza',
'se da cuando se hace algo bien', 'éxito',
'cuando nos va bien en la vida', 'éxito',
'confianza', 'seguridad',
'antivirus', 'protección',
'sistema que aleja el peligro', 'seguridad',
'resguardar algo de robos', 'protección',
'guardias', 'seguridad',
'proteccion', 'seguridad',
'piedad', 'compasión',
'misericordia', 'compasión',
'sentir tristesa por algo o alguien', 'compasión',
'empatia', 'compasión',
'estrategia', 'planificación',
'como llegar a un punto determinado', 'estrategia',
'propiedad', 'código',
